MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932874,0.1650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,282.5880000,-0.1914323,-0.1198879,-0.1658819
MsgID.LOCAL_VELOCITY,282.5880000,0.0000104,-0.0000038,-0.0000027
MsgID.GLOBAL_POSITION,0.0000000,-122.3957529,37.7932876,0.1790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,282.8380000,-0.1741058,-0.0920103,-0.1798718
MsgID.LOCAL_VELOCITY,282.8380000,-0.0000029,-0.0000090,0.0000468
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932891,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932876,0.1990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,283.0890000,-0.1685890,0.0324453,-0.1999157
MsgID.LOCAL_VELOCITY,283.0890000,0.0000062,-0.0000115,-0.0000432
MsgID.GLOBAL_POSITION,0.0000000,-122.3957532,37.7932886,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,283.3390000,-0.0641064,-0.1145897,-0.2220652
MsgID.LOCAL_VELOCITY,283.3390000,-0.0000096,0.0000085,-0.0000386
MsgID.GLOBAL_POSITION,0.0000000,-122.3957543,37.7932892,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,283.5890000,0.0099596,-0.2162693,-0.2433719
MsgID.LOCAL_VELOCITY,283.5890000,-0.0000118,0.0000203,0.0000350
MsgID.GLOBAL_POSITION,0.0000000,-122.3957527,37.7932882,0.2590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,283.8390000,-0.1009195,-0.0713867,-0.2591332
MsgID.LOCAL_VELOCITY,283.8390000,0.0000060,-0.0000011,-0.0000342
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932891,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957525,37.7932880,0.2680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.0890000,-0.1268348,-0.0500077,-0.2684641
MsgID.LOCAL_VELOCITY,284.0890000,-0.0000151,-0.0000044,0.0000201
MsgID.GLOBAL_POSITION,0.0000000,-122.3957547,37.7932878,0.2680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.3400000,-0.1512173,-0.2497762,-0.2684571
MsgID.LOCAL_VELOCITY,284.3400000,-0.0000100,-0.0000047,0.0000360
MsgID.GLOBAL_POSITION,0.0000000,-122.3957550,37.7932876,0.2590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.5900000,-0.1749531,-0.2793509,-0.2590498
MsgID.LOCAL_VELOCITY,284.5900000,0.0000093,-0.0000023,-0.0000497
MsgID.GLOBAL_POSITION,0.0000000,-122.3957543,37.7932877,0.2400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.8410000,-0.1611449,-0.2101537,-0.2404043
MsgID.LOCAL_VELOCITY,284.8410000,0.0000114,-0.0000133,-0.0000306
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932891,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932888,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,285.0910000,-0.0424079,0.0059130,-0.2101101
MsgID.LOCAL_VELOCITY,285.0910000,0.0000039,-0.0000003,-0.0000253
MsgID.GLOBAL_POSITION,0.0000000,-122.3957532,37.7932875,0.1700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,285.3440000,-0.1831668,-0.1174251,-0.1700143
MsgID.LOCAL_VELOCITY,285.3440000,0.0000072,0.0000079,0.0000048
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932866,0.1330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.5200000
MsgID.LOCAL_POSITION,285.5950000,-0.2855734,-0.0185601,-0.1334068
MsgID.LOCAL_VELOCITY,285.5950000,0.0000416,0.0002298,-0.5215248
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932877,0.4870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.7400000
MsgID.LOCAL_POSITION,285.8450000,-0.1645016,0.0422862,-0.4874502
MsgID.LOCAL_VELOCITY,285.8450000,-0.0047764,-0.0068529,-2.7415931
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932891,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957536,37.7932864,1.2180000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-3.7200000
MsgID.LOCAL_POSITION,286.0960000,-0.3068580,-0.1499799,-1.2180105
MsgID.LOCAL_VELOCITY,286.0960000,-0.0136177,-0.0149081,-3.7237825
MsgID.GLOBAL_POSITION,0.0000000,-122.3957540,37.7932868,2.2570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.9400000
MsgID.LOCAL_POSITION,286.3460000,-0.2600655,-0.1901406,-2.2574835
MsgID.LOCAL_VELOCITY,286.3460000,-0.0040884,0.0018810,-3.9436233
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932871,3.0890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.6400000
MsgID.LOCAL_POSITION,286.5960000,-0.2301209,-0.1256724,-3.0895696
MsgID.LOCAL_VELOCITY,286.5960000,0.0011344,0.0082672,-2.6418505
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932874,3.4260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,286.8460000,-0.1925059,-0.1217402,-3.4265144
MsgID.LOCAL_VELOCITY,286.8460000,0.0010615,0.0077363,0.0476425
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932891,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932875,3.1830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,1.8900000
MsgID.LOCAL_POSITION,287.0970000,-0.1797908,-0.1217402,-3.1831508
MsgID.LOCAL_VELOCITY,287.0970000,-0.0000986,0.0071533,1.8975623
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932872,2.8060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.5800000
MsgID.LOCAL_POSITION,287.3470000,-0.2147800,-0.1217402,-2.8061209
MsgID.LOCAL_VELOCITY,287.3470000,-0.0181340,0.0054571,0.5852143
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7932862,2.8900000
